author,publish_year,title,abstract
C. Harris,1991,The preservation considerations in electronic security systems,"Preservation of library collections has not been a concern in design and implementation of security systems. However, electronic security systems affect the long term preservation of ma-terials and damage should be as limited as possible. Electronic Security Systems arc only one in a range of security measures that must be used by a library. To meet the goals of preserving the collection for future access, the security systems must relate to the types of materials and the mission of the library. © 1991 by The Haworth Press, Inc. All rights reserved."
W. Hodge; B. Harvey; R. S. Block,1993,A Film Quality Digital Archiving Editing System,"Film archiving of commercial theatrical motion picture film has not been as successful as it was believed it was going to be. Continuing degradation of film quality over time has represented serious loss to the major motion picture studios. This article is a proposal to rectify these deficiencies using new digital technology using advanced state of the art image processing and database technology. Furthermore, because of the similarity of a digital archiving and a very high resolution editing system, consolidation of those features is discussed. © 1993 Society of Motion Picture and Television Engineers, Inc."
M. Foot,1994,ASPECTS OF MASS CONSERVATION,"During the 19th century, increasing demand for paper and advances in science and technology transformed paper making from a craft to an industrial manufacturing process. Different raw-materials and new processes have produced paper that is chemically unstable. The increase in atmospheric pollution has accelerated the chemical degradation of paper, while the growth in library use has increased mechanical breakdown. The ''brittle book problem'' is one which concerns all libraries. It is of such magnitude that conventional hand treatments are no longer sufficient.A number of mass conservation treatments are available, others are still in an experimental stage. They can be divided into processes that preserve the information content through re-formatting and those that preserve the format as well as the content. Among the former are microfilming (microfiche production) and digitizing, while the latter include mass-deacidification and paper strengthening.Microfilming is by far the most widely used and best tested method. However, it is both costly and slow. The most recent re-formatting method is by digitizing texts, either directly or from microform. A number of experiments have shown that digital preservation depends on copying, not on the survival of the physical media. New media formats themselves constitute a preservation problem.Three mass-deacidification processes are currently in use; a further three claim both to deacidify and to strengthen the paper. The basic principles of these processes have been briefly described and their effectiveness and their pros and cons discussed. Nothwithstanding the fact that not all these processes have been properly verified and that the results of comparative studies to analyze and evaluate them have not yet been published, the following observations can be made:1. No existing treatment can be applied to all kinds of paper and to all constituents of the bound book.2. There are doubts about the homogeneity and effectiveness of some of these treatments.3. Some of these processes have an adverse impact on the environment.4. None of these processes sufficiently strengthens highly degraded paper.Consequently, libraries must first of all assess their deacidification needs, they must decide which processes are most appropriate for the diversity of their collections, they must assess the impact of mass treatments on their day-to-day management of the collections and they must assess the financial and staffing resources required to meet their present and future conservation needs. They then must try and address those needs in cooperation with other libraries in order to have at least a chance of preserving knowledge recorded on brittle paper worldwide."
J. Gertz,1996,Selection for preservation: A digital solution for illustrated texts,"The point of selection for preservation is to identify endangered library and archival materials that have long-term intellectual value and are therefore worth the effort and cost of long-term preservation. Technical issues cannot be separated from selection for preservation, because the limits of preservation technologies can influence decisions. At least for the present, we need to combine digitization with analog preservation methods. This hybrid approach"" operates on an assumption that we can in fact make a digital version of the original, and that the digital version will be able to serve the needs that justified selecting the item for preservation in the first place. Columbia University Libraries' Preservation Division has been experimenting with the hybrid digital approach, selecting digitization as the preservation method for materials that previously had to be rejected because our reformatting technologies could not copy them in a way that made the contents accessible to users. In 1994 Columbia undertook a project funded by the Commission on Preservation and Access to combine film with digitization and test the hybrid approach on illustrated materials. We have demonstrated that scanning the microfiche can, in fact, produce digital images with legibility equal to the images made directly from the original printed maps. While legibility was quite successfully achieved during the project, questions remain about the quality of the color that can be delivered to the viewer. Capture is one side of the coin, delivery is the other."""
P. Conway,1996,Selecting microfilm for digital preservation: A case study from Project Open Book,"Project Open Book is Yale University Library's multiyear, multifaceted study exploring the feasibility of converting preservation microfilm to digital imagery and enhancing both physical and intellectual access to the resulting collection of digital files. Selection is the central intellectual challenge; challenges are outlined from Yale's case study that will also have bearing on content-oriented selection for digital conversion of books that have been microfilmed in the nation's Brittle Books Program. The approach outlined here for building a digital library from microfilm of the nation's most important brittle books places collection managers under the same umbrella with the other parties interested in creating and then preserving the availability of digital resources. The lessons from Project Open Book about selection of microfilm point to very concrete and achievable solutions for everyone involved in preservation microfilming and the digital conversion of that film."
I. Bryson,1997,Image service bureaus move to digital asset management,"Digital archiving systems in the publishing world offer service bureaus to create new and more sophisticated menu of services that will reuse graphics, photos, text, video and sound and store and index large amounts of data. Royle Communication has recently launched Royle Digital Impressions using the Web-enable MediaSphere dynamic multimedia library system to perform these kinds of services. The built-in Web browser makes it possible to search, browse and retrieve using natural language queries. Each Royle client has it own index, so with protocols in place, clients would only be given access to their designated index."
M. Hedstrom,1997,Building record-keeping systems: Archivists are not alone on the wild frontier,"Recent research on electronic records has produced proposals and models for adding functionality and procedural controls to information systems so that systems can protect the authenticity and integrity of records. This article reviews several electronic records management projects led by archivists and then explores recent developments in network security and authentication based on research outside the archival community. Focusing primarily on the development of trusted systems"" to support electronic commerce and digital publishing, the article evaluates alternative methodologies which offer partial solutions to electronic record-keeping concerns. It suggests ways in which methodologies for trusted systems are compatible with archival objectives, but also raises concerns about long-term preservation and accessibility."""
M. Hedstrom,1997,Digital Preservation: A Time Bomb for Digital Libraries,"The difficulty and expense of preserving digital information is a potential impediment to digital library development. Preservation of traditional materials became more successful and systematic after libraries and archives integrated preservation into overall planning and resource allocation. Digital preservation is largely experimental and replete with the risks associated with untested methods. Digital preservation strategies are shaped by the needs and constraints of repositories with little consideration for the requirements of current and future users of digital scholarly resources. This article discusses the present state of digital preservation, articulates requirements of both users and custodians, and suggests research needs in storage media, migration, conversion, and overall management strategies. Additional research in these areas would help developers of digital libraries and other institutions with preservation responsibilities to integrate long-term preservation into program planning, administration, system architectures, and resource allocation. © 1998 Kluwer Academic Publishers."
W. Smith,1997,The national library of australia's pandora project,"The National Library of Australia is developing an electronic archive to provide long-term preservation and access to significant Australian online publications. The processes of selection, preservation and access have undergone scrutiny in order to develop an archive that will help achieve the Library's major role of collecting and recording Australia's documentary cultural heritage. The Pandora Project is the outcome of work begun in 1996. © Saur 1997."
D. M. Levy,1998,Heroic measures: reflections on the possibility and purpose of digital preservation,"Preserving digital information is a difficult and poorly understood problem. The current inability to accomplish digital preservation is a major impediment to the adoption of digital forms on a grand scale. Recognizing this, in December, 1994 the Commission on Preservation and Access (CPA) and the Research Libraries Group (RLG) convened a Task Force on Digital Archiving. In May, 1996 the Task Force issued its report, entitled 'Preserving Digital Information: Report of the Task Force on Archiving of Digital Information.' This paper has been written in the context of, and partly as a response to, the Task Force report. It analyzes migration as a preservation strategy and, as a counterweight to an overly narrow technical focus on 'the digital object,' it argues that use considerations - the purposes for which the digital materials being preserved are to be used - must figure centrally in any preservation strategy."
